,Farm,Trader,Mandi,Retail,Transport
Farm,0.0,1.0,1.0,1.0,0.8269715203858251
Trader,0.0,0.0,0.0,0.6920666463034086,0.8269715203858251
Mandi,0.0,1.0,0.0,1.0,0.8269715203858251
Retail,0.0,0.30793335369659136,0.0,0.0,0.30793335369659136
Transport,0.17302847961417492,0.17302847961417492,0.17302847961417492,0.6920666463034086,0.0
